,species_id,,code
,1127,,iducra
,1128,,idupal
,1129,,iduopa
,1130,,idupop
,1131,,idusp.
,1132,,hiplan
,1133,,hipoli
,1134,,hippol
,1135,,hipict
,1136,,hippic
,1137,,hipsp.
,1138,,acrpad
,1139,,acrmel
,1140,,acrsch
,1141,,acragr
,1142,,acrdum
,1143,,acrpas
,1144,,acrsci
,1147,,acrpsc
,1148,,acrbae
,1149,,acrsba
,1150,,acraru
,1151,,acrsar
,1152,,acrste
,1153,,acrsp.
,1154,,idusp.
,1155,,locfas
,1156,,locfam
,1157,,loccer
,1158,,loclan
,1159,,locflu
,1160,,loclus
,1161,,locnae
,1162,,locsp.
,1163,,prosub
,1165,,prosp.
,1166,,tacbic
,1167,,rippal
,1169,,riprip
,1170,,ripdil
,1171,,riprdi
,1172,,ptyrup
,1173,,ptyrfu
,1174,,hirrus
,1178,,cecdau
,1180,,cecdst
,1181,,petpyr
,1183,,delurb
,1187,,deluda
,1188,,delsp.
,1189,,hirsp.
,1190,,pycbar
,1191,,pycxan
,1192,,pycleu
,1193,,physib
,1194,,phybon
,1195,,phyori
,1196,,phybol
,1197,,phyino
,1198,,phyhum
,1199,,phyihu
,1200,,phypro
,1201,,physch
,1202,,phyfus
,1203,,phyffu
,1204,,phyneg
,1205,,phytru
,1206,,physin
,1209,,phycan
,1210,,phycol
,1213,,phytco
,1214,,phyibe
,1215,,phytci
,1216,,phycib
,1217,,phycor
,1218,,phynit
,1219,,phytro
,1221,,phyntr
,1222,,phyplu
,1223,,phytpl
,1224,,phymag
,1225,,phyboa
,1226,,phyexa
,1227,,phyxbe
,1228,,physp.
,1229,,cetcet
,1230,,cetsp.
,1231,,aegcau
,1235,,sylatr
,1236,,sylbor
,1237,,syldes
,1238,,sylnan
,1239,,sylnis
,1240,,sylcur
,1249,,sylhor
,1250,,sylcra
,1251,,sylhcr
,1252,,syldec
,1253,,sylmet
,1254,,sylmys
,1256,,sylrup
,1257,,sylcan
,1262,,sylsub
,1263,,sylcsu
,1264,,sylmec
,1265,,sylcom
,1266,,sylcon
,1267,,sylsar
,1268,,sylund
,1269,,sylbal
,1270,,sylsp.
,1272,,sinweb
,1273,,leilut
,1274,,regcal
,1275,,regreg
,1281,,regmad
,1282,,regign
,1283,,regrig
,1284,,regsp.
,1285,,ticmur
,1286,,siteur
,1289,,sitwhi
,1290,,sitkru
,1291,,sitneu
,1292,,sitsp.
,1293,,cerfam
,1294,,cerbra
,1295,,cerfbr
,1296,,cersp.
,1297,,trotro
,1300,,cincin
,1301,,stuvul
,1302,,stuuni
,1303,,stuvun
,1304,,pasros
,1305,,agrstu
,1306,,acrtri
,1307,,acrcri
,1309,,acrsp.
,1310,,lamcha
,1311,,lamsp.
,1312,,stusp.
,1313,,dumcar
,1314,,toxruf
,1315,,mimpol
,1316,,mimgpo
,1317,,zooaur
,1318,,zoodau
,1319,,catfus
,1320,,catmin
,1321,,catmbi
,1322,,catust
,1325,,catgut
,1327,,hylmus
,1328,,geosib
,1329,,turvis
,1330,,turphi
